GTEX-N7MS-2126 BLCA 0
GTEX-OOBJ-1926 BLCA 0
GTEX-OXRK-1926 BLCA 0
GTEX-PW2O-1026 BLCA 0
GTEX-PWN1-1926 BLCA 0
GTEX-QLQW-0826 BLCA 0
GTEX-QV31-0926 BLCA 0
GTEX-S4UY-0926 BLCA 0
GTEX-S7SE-2326 BLCA 0
GTEX-S95S-0626 BLCA 0
GTEX-SIU7-1026 BLCA 0
GTEX-SN8G-2026 BLCA 0
GTEX-T5JW-0626 BLCA 0
GTEX-T6MN-2226 BLCA 0
GTEX-TKQ1-0726 BLCA 0
GTEX-TSE9-2426 BLCA 0
GTEX-U3ZN-1226 BLCA 0
GTEX-111CU-1626 BRCA 1
GTEX-111VG-1226 BRCA 1
GTEX-113JC-1426 BRCA 1
GTEX-11DXZ-1926 BRCA 1
GTEX-11EQ9-1826 BRCA 1
GTEX-11GS4-2126 BRCA 1
GTEX-11I78-2226 BRCA 1
GTEX-11ZU8-1926 BRCA 1
GTEX-12WSG-5013 BRCA 1
GTEX-133LE-1726 BRCA 1
GTEX-13FH7-1826 BRCA 1
GTEX-13OVJ-2226 BRCA 1
GTEX-145ME-1526 BRCA 1
GTEX-14JFF-0826 BRCA 1
GTEX-15D79-1226 BRCA 1
GTEX-17F98-0526 BRCA 1
GTEX-1B97J-0426 BRCA 1
GTEX-NL3G-2226 CESC 2
GTEX-P4QT-2126 CESC 2
GTEX-POMQ-1526 CESC 2
GTEX-PWCY-1626 CESC 2
GTEX-PWO3-2926 CESC 2
GTEX-PWOO-1826 CESC 2
GTEX-Q2AG-2326 CESC 2
GTEX-Q734-1526 CESC 2
GTEX-QDT8-2626 CESC 2
GTEX-R45C-2626 CESC 2
GTEX-R55G-1826 CESC 2
GTEX-T2IS-2326 CESC 2
GTEX-T5JW-0726 CESC 2
GTEX-TML8-0826 CESC 2
GTEX-TSE9-2826 CESC 2
GTEX-U3ZN-1526 CESC 2
GTEX-1117F-2726 COAD 3
GTEX-111CU-1226 COAD 3
GTEX-117XS-2326 COAD 3
GTEX-117YW-1726 COAD 3
GTEX-11EQ8-2526 COAD 3
GTEX-11EQ9-1426 COAD 3
GTEX-11NUK-2326 COAD 3
GTEX-11P82-1226 COAD 3
GTEX-11PRG-1926 COAD 3
GTEX-11ZVC-2226 COAD 3
GTEX-1211K-1826 COAD 3
GTEX-12WSC-2526 COAD 3
GTEX-12WSF-2826 COAD 3
GTEX-13111-0726 COAD 3
GTEX-139TS-2226 COAD 3
GTEX-13NZ9-2726 COAD 3
GTEX-145MF-2326 COAD 3
GTEX-14JFF-2626 COAD 3
GTEX-11LCK-0426 LUAD 4
GTEX-11P81-0226 LUAD 4
GTEX-11TUW-0526 LUAD 4
GTEX-12WSF-0726 LUAD 4
GTEX-12WSN-5004 LUAD 4
GTEX-13113-0426 LUAD 4
GTEX-131XF-1026 LUAD 4
GTEX-131XF-5010 LUAD 4
GTEX-133LE-0526 LUAD 4
GTEX-139UC-0626 LUAD 4
GTEX-13FHP-0726 LUAD 4
GTEX-13N11-0326 LUAD 4
GTEX-145MG-1426 LUAD 4
GTEX-1497J-0326 LUAD 4
GTEX-15G1A-0426 LUAD 4
GTEX-18A67-1126 LUAD 4
GTEX-1A3MX-0726 LUAD 4
GTEX-1GTWX-0626 LUAD 4
GTEX-1ICG6-5004 LUAD 4
GTEX-1LVAO-1226 LUAD 4
GTEX-NL3H-0626 LUAD 4
GTEX-OHPM-0526 LUAD 4
GTEX-S32W-0326 LUAD 4
GTEX-SIU7-0526 LUAD 4
GTEX-X4XX-1026 LUAD 4
GTEX-XPVG-1026 LUAD 4
GTEX-XV7Q-0426 LUAD 4
GTEX-Y5V6-0226 LUAD 4
GTEX-YJ8A-0926 LUAD 4
GTEX-ZU9S-1026 LUAD 4
GTEX-ZV6S-0426 LUAD 4
GTEX-ZY6K-0326 LUAD 4
GTEX-ZZPU-0526 LUAD 4
GTEX-111FC-2026 PRAD 6
GTEX-1192W-2126 PRAD 6
GTEX-11DXW-0926 PRAD 6
GTEX-11TT1-2026 PRAD 6
GTEX-12BJ1-1226 PRAD 6
GTEX-12ZZW-2626 PRAD 6
GTEX-1399R-0526 PRAD 6
GTEX-13G51-2326 PRAD 6
GTEX-13N1W-2526 PRAD 6
GTEX-13RTJ-2126 PRAD 6
GTEX-13RTK-1126 PRAD 6
GTEX-145MN-2126 PRAD 6
GTEX-14ABY-0726 PRAD 6
GTEX-PW2O-1126 PRAD 6
GTEX-T5JC-1226 PRAD 6
GTEX-UPK5-2526 PRAD 6
GTEX-V955-1826 PRAD 6
GTEX-WVJS-2626 PRAD 6
GTEX-WY7C-2026 PRAD 6
GTEX-XMK1-1026 PRAD 6
GTEX-117YX-2326 SKCM 7
GTEX-11GSO-2426 SKCM 7
GTEX-11NSD-2226 SKCM 7
GTEX-11ZUS-0626 SKCM 7
GTEX-12KS4-0326 SKCM 7
GTEX-1314G-5013 SKCM 7
GTEX-132AR-0126 SKCM 7
GTEX-13O3P-0126 SKCM 7
GTEX-13PVQ-0126 SKCM 7
GTEX-145LU-0126 SKCM 7
GTEX-14H4A-1126 SKCM 7
GTEX-15SHV-2026 SKCM 7
GTEX-15SHW-0226 SKCM 7
GTEX-1B98T-0126 SKCM 7
GTEX-1GZ4H-0526 SKCM 7
GTEX-1H1DF-1126 SKCM 7
GTEX-1IKJJ-2226 SKCM 7
